color,team name,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,file_name
blue,,italic,Steam,76561198021360335,4284,Fennec,116,346,2,1,0,2,2,1,1,100.0,420,50.95,786,604,182,7,17,60,0,60,0,5,19.52,3.03,73,41,0,1612,162964,50.46,43.5,51.11,44.06,14.42,12.43,61.64,53.14,48.88,42.14,5.47,4.72,1.27,0.12,11,36.1,62.5,2330,2069,2190,84.0,72.42,31.99,27.58,83.82,72.26,32.17,27.74,58.25,50.22,37.06,31.95,20.67,17.82,1,0,csv_409.csv
blue,,EreNNN*,Steam,76561198167233536,23,Octane,116,196,1,1,0,1,2,1,0,100.0,433,60.53,821,647,174,9,15,227,159,68,2,6,6.57,13.67,64,254,43,1409,142222,68.97,59.43,33.02,28.45,14.07,12.12,77.57,66.84,37.55,32.36,0.93,0.8,2.43,0.12,21,62.6,36.1,2289,1982,2201,94.2,81.16,21.86,18.84,86.17,74.25,29.88,25.75,66.72,57.49,31.45,27.1,17.89,15.41,0,0,csv_409.csv
orange,,Pepsi,Steam,76561198019949639,4284,Fennec,116,174,1,0,0,2,3,3,1,50.0,413,48.76,749,480,269,5,25,94,0,94,0,8,2.77,11.93,109,40,0,1515,146369,50.21,43.36,52.68,45.5,12.9,11.14,57.83,49.94,53.97,46.61,3.99,3.45,1.3,0.09,14,44.9,55.4,2535,1995,3009,79.14,68.35,36.65,31.65,75.13,64.88,40.66,35.12,54.66,47.21,33.7,29.1,27.43,23.69,0,0,csv_409.csv
orange,,ttvstardragon,Epic,1c88619edf534722a78d12f30a7e12d3,4284,Fennec,116,42,0,0,0,0,3,3,1,0.0,376,40.69,532,299,233,4,20,143,0,143,0,12,5.97,7.06,21,100,0,1440,127483,57.66,57.84,27.58,27.67,14.45,14.49,64.48,64.68,33.01,33.11,2.2,2.21,3.23,0.09,35,52.8,39.1,2118,1985,2300,88.0,88.28,11.68,11.72,60.13,60.32,39.56,39.68,42.87,43.0,36.29,36.4,20.53,20.59,0,1,csv_409.csv
blue,,NoobTrainerss,Epic,32a7937de9264aee9e6c399508553bd1,23,Octane,370,734,3,1,3,6,10,3,2,50.0,430,49.23,2565,2030,535,24,49,338,187,151,2,13,54.61,49.93,154,399,17,1566,527718,164.27,44.76,145.6,39.67,57.17,15.58,190.08,51.79,151.19,41.19,25.76,7.02,4.04,0.18,22,186.8,163.8,2618,2663,2557,280.0,76.29,87.03,23.71,231.81,63.16,135.22,36.84,166.56,45.38,123.51,33.65,76.96,20.97,2,1,csv_41.csv
blue,,italic,Steam,76561198021360335,23,Octane,370,573,1,2,2,4,10,3,1,25.0,457,48.88,2626,2116,510,27,43,695,445,250,6,21,50.34,31.56,668,344,41,1670,553288,129.98,35.96,161.1,44.58,70.33,19.46,189.41,52.41,147.87,40.91,24.13,6.68,3.64,0.12,30,161.8,183.1,2280,2009,2576,248.68,68.81,112.73,31.19,199.66,55.24,161.75,44.76,144.66,40.03,118.99,32.92,97.76,27.05,2,2,csv_41.csv
orange,,Dutch-Viking,Epic,22bf99e45f0348b4954616129e64a7e6,23,Octane,370,555,2,1,2,5,10,4,2,40.0,355,41.41,1813,1203,610,13,54,90,0,90,0,8,31.44,47.91,221,118,0,1461,483039,191.54,53.15,129.79,36.01,39.07,10.84,231.69,64.29,119.7,33.21,9.01,2.5,4.08,0.09,43,206.4,139.3,2599,2311,2833,295.69,82.04,64.72,17.96,275.7,76.5,84.71,23.5,216.84,60.16,105.6,29.3,37.97,10.54,2,3,csv_41.csv
orange,,icy_m4,Steam,76561199140242755,23,Octane,370,533,1,1,2,5,10,4,2,20.0,455,43.3,2575,2050,525,23,46,382,174,208,2,18,44.13,60.72,383,204,25,1605,540067,151.46,41.27,142.16,38.74,73.34,19.99,192.56,52.47,156.25,42.58,18.16,4.95,3.37,0.17,20,144.7,206.0,2278,1818,2622,271.22,73.91,95.75,26.09,260.17,70.9,106.79,29.1,201.69,54.96,103.05,28.08,62.22,16.96,1,1,csv_41.csv
blue,,Dam1an,Steam,76561197998966172,23,Octane,342,723,3,0,2,5,6,1,0,60.0,426,47.08,2342,1783,559,20,48,400,266,134,3,12,25.74,39.95,348,216,33,1540,482499,155.54,46.26,129.04,38.38,51.62,15.35,186.24,55.4,138.8,41.28,11.16,3.32,10.85,0.1,110,163.1,161.9,2513,2189,2806,277.03,82.4,59.17,17.6,210.58,62.64,125.62,37.36,155.73,46.32,105.08,31.26,75.39,22.42,1,2,csv_410.csv
blue,,arsi,Steam,76561198391701224,23,Octane,342,531,1,1,3,2,6,1,1,50.0,363,48.33,2058,1512,546,19,50,333,147,186,2,18,53.11,51.27,103,410,67,1410,443583,193.57,57.17,104.16,30.76,40.85,12.07,190.19,56.17,139.83,41.3,8.56,2.53,4.71,0.14,34,167.3,158.0,2368,2353,2334,281.98,83.28,56.61,16.72,202.4,59.78,136.18,40.22,153.55,45.35,117.33,34.65,67.71,20.0,1,1,csv_410.csv
orange,,bexa,Steam,76561198198738426,403,Dominus,342,539,0,1,4,3,7,4,2,0.0,476,52.36,2662,2279,383,25,34,495,397,98,4,9,33.08,35.68,230,234,9,1531,487385,145.82,43.38,128.93,38.36,61.39,18.26,175.54,52.22,137.02,40.76,23.58,7.01,8.71,0.1,85,174.2,149.7,2436,2214,2615,251.24,74.74,84.9,25.26,230.16,68.47,105.98,31.53,191.5,56.97,70.92,21.1,73.72,21.93,0,0,csv_410.csv
orange,,italic,Steam,76561198021360335,4284,Fennec,342,322,1,0,0,3,7,4,2,33.33,457,60.61,2618,2030,588,27,56,419,284,135,4,12,35.65,31.95,540,419,47,1628,509612,136.77,40.68,139.22,41.41,60.22,17.91,200.58,59.66,120.89,35.96,14.74,4.38,6.04,0.12,50,155.2,173.3,2522,2095,2816,233.54,69.46,102.68,30.54,228.59,67.99,107.63,32.01,164.17,48.83,117.48,34.94,54.57,16.23,3,2,csv_410.csv
blue,,arsi,Steam,76561198391701224,23,Octane,371,873,4,0,3,5,12,3,1,80.0,393,49.03,2197,1570,627,20,53,300,109,191,2,16,29.86,32.32,87,348,91,1409,481166,203.82,55.01,141.1,38.08,25.57,6.9,215.09,58.06,141.21,38.11,14.19,3.83,8.54,0.16,55,194.5,154.4,2136,1886,2344,265.67,71.71,104.81,28.29,251.33,67.84,119.15,32.16,186.75,50.41,123.49,33.33,60.24,16.26,0,0,csv_411.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,371,631,0,4,4,2,12,3,2,0.0,408,48.58,2590,2099,491,26,44,426,280,146,3,13,43.55,41.93,483,293,25,1509,515538,176.44,47.93,128.27,34.85,63.39,17.22,191.21,51.94,172.3,46.81,4.6,1.25,4.61,0.15,30,153.4,192.1,2326,2329,2334,273.78,74.38,94.32,25.62,249.27,67.72,118.83,32.28,191.29,51.97,108.62,29.51,68.19,18.52,2,1,csv_411.csv
orange,,giuseppeee.,Epic,66d79401d1704edb99d7392463e92fe1,23,Octane,371,533,3,0,0,6,7,4,2,50.0,475,43.34,2728,2290,438,24,38,330,200,130,2,12,50.73,33.57,652,109,0,1510,516689,174.0,47.27,151.12,41.06,42.95,11.67,205.99,55.96,142.07,38.6,20.01,5.44,3.38,0.15,23,182.9,162.3,2004,1874,2120,297.29,80.77,70.78,19.23,214.23,58.2,153.84,41.8,148.38,40.31,136.67,37.13,83.02,22.56,1,1,csv_411.csv
orange,,Desire.,Steam,76561198291931972,23,Octane,371,495,0,2,3,6,7,4,2,0.0,388,41.81,2286,1493,793,19,67,697,338,359,5,30,57.23,33.85,439,409,164,1473,500566,190.47,51.92,131.1,35.74,45.28,12.34,219.61,59.86,135.6,36.96,11.64,3.17,7.64,0.13,59,163.3,183.9,1983,1951,2045,263.3,71.77,103.55,28.23,201.23,54.85,165.61,45.15,144.26,39.32,114.69,31.26,107.9,29.41,0,1,csv_411.csv
blue,,M. :>,Steam,76561198066879938,23,Octane,203,276,0,0,3,0,8,3,1,0.0,455,46.81,1553,1236,317,14,29,72,0,72,0,7,27.43,31.7,218,170,0,1547,296318,90.85,44.67,76.35,37.54,36.19,17.79,92.1,45.28,95.97,47.19,15.31,7.53,4.1,0.15,27,96.6,92.7,2611,2450,2741,145.51,71.55,57.87,28.45,158.43,77.89,44.96,22.11,120.63,59.31,60.9,29.94,21.86,10.75,0,0,csv_412.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,203,270,0,0,2,1,8,3,2,0.0,381,56.44,1265,1078,187,13,16,236,200,36,2,3,37.43,11.96,200,214,0,1534,295850,89.58,44.05,85.79,42.19,27.99,13.76,104.86,51.56,89.6,44.06,8.9,4.38,4.1,0.18,23,92.7,96.5,2290,1894,2519,144.23,70.93,59.12,29.07,142.85,70.25,60.5,29.75,105.85,52.05,62.14,30.56,35.36,17.39,0,0,csv_412.csv
orange,,Lime,Steam,76561198118823311,23,Octane,203,504,2,1,1,6,1,0,0,33.33,439,48.34,1429,1198,231,14,20,292,197,95,2,8,32.17,24.22,82,210,2,1545,296308,86.8,42.66,94.32,46.36,22.33,10.98,104.84,51.53,79.71,39.18,18.9,9.29,3.67,0.1,35,92.0,97.3,2241,1958,2533,163.78,80.5,39.67,19.5,112.63,55.36,90.83,44.64,77.43,38.06,68.55,33.69,57.47,28.25,0,0,csv_412.csv
orange,,Nyteuh.,Steam,76561198027475411,4284,Fennec,203,302,1,1,0,2,1,0,0,50.0,369,41.32,1112,690,422,8,36,298,100,198,1,17,9.67,20.33,69,113,0,1497,288007,97.86,48.11,83.09,40.85,22.47,11.05,100.38,49.35,82.59,40.6,20.45,10.05,3.1,0.12,25,97.2,92.2,2302,2220,2442,156.72,77.04,46.7,22.96,108.66,53.42,94.76,46.58,76.03,37.37,60.77,29.87,66.63,32.75,0,0,csv_412.csv
blue,,Miiz,Steam,76561198001115300,4284,Fennec,469,810,4,0,2,4,9,6,4,100.0,438,47.59,3334,2659,675,31,58,523,331,192,4,16,38.9,40.07,487,458,68,1611,660881,184.16,40.41,205.05,44.99,66.57,14.61,254.97,55.94,165.78,36.37,35.02,7.68,6.94,0.1,71,240.7,195.3,2707,2533,2820,340.76,74.77,115.01,25.23,340.27,74.66,115.5,25.34,259.61,56.96,138.85,30.46,57.32,12.58,1,4,csv_413.csv
blue,,FraN,Steam,76561198825554146,4284,Fennec,469,426,1,1,1,3,9,6,2,33.33,358,44.39,2806,2077,729,25,63,478,337,141,4,13,40.45,46.73,343,337,62,1518,616815,203.9,45.16,201.33,44.6,46.23,10.24,254.91,56.46,174.54,38.66,22.02,4.88,4.81,0.17,28,205.2,230.5,2382,2188,2538,311.21,68.93,140.26,31.07,325.4,72.08,126.07,27.92,234.57,51.96,146.94,32.55,69.96,15.5,1,4,csv_413.csv
orange,,italic,Steam,76561198021360335,4284,Fennec,469,918,3,3,2,4,7,5,3,75.0,424,54.19,3369,2693,676,31,64,587,369,218,4,19,46.45,52.14,664,302,30,1545,645318,221.82,48.02,168.27,36.43,71.86,15.56,267.0,57.8,176.91,38.3,18.04,3.91,9.44,0.14,69,250.8,172.5,2537,2316,2855,377.2,81.65,84.75,18.35,278.37,60.26,183.58,39.74,191.0,41.35,169.29,36.65,101.66,22.01,5,2,csv_413.csv
orange,,Phares xenon,Steam,76561198326859062,23,Octane,469,703,3,0,1,5,7,5,2,60.0,472,49.77,3489,2703,786,32,64,1130,745,385,9,29,58.41,47.81,523,511,169,1595,676286,189.95,40.58,214.52,45.83,63.61,13.59,266.16,56.86,172.99,36.96,28.92,6.18,6.71,0.14,48,178.0,250.0,2638,2541,2717,312.18,66.69,155.9,33.31,247.95,52.97,220.13,47.03,173.76,37.12,159.06,33.98,135.26,28.9,3,0,csv_413.csv
blue,,Zkirua.,Epic,dc57a3643f0a494bad4271aa27e5e0b2,23,Octane,361,772,2,1,4,7,12,2,1,28.57,324,53.6,1933,1515,418,19,41,772,629,143,7,13,18.55,32.78,306,389,75,1486,496193,178.55,49.9,136.32,38.1,42.93,12.0,228.62,63.89,112.73,31.51,16.46,4.6,3.24,0.1,34,176.5,168.7,2156,2164,2111,276.84,77.37,80.96,22.63,232.81,65.07,124.99,34.93,184.94,51.69,95.88,26.8,76.98,21.51,1,1,csv_414.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,361,725,1,2,4,4,12,2,1,25.0,456,60.17,2810,2369,441,30,41,826,670,156,7,14,29.99,61.75,476,571,29,1568,514857,154.35,43.88,137.44,39.07,59.97,17.05,200.27,56.94,132.03,37.54,19.45,5.53,6.07,0.15,40,171.4,168.7,2332,2029,2544,264.14,75.09,87.62,24.91,231.06,65.69,120.69,34.31,183.36,52.13,89.25,25.37,79.15,22.5,2,3,csv_414.csv
orange,,roadgc3,Steam,76561198352126579,4284,Fennec,361,638,0,2,5,4,11,3,2,0.0,424,45.84,2503,1853,650,23,57,440,215,225,4,20,60.74,45.35,313,462,191,1515,513366,165.86,45.94,128.0,35.46,67.14,18.6,190.1,52.66,165.15,45.75,5.74,1.59,8.74,0.13,65,170.3,175.5,2291,2148,2489,273.3,75.7,87.71,24.3,215.67,59.74,145.33,40.26,162.9,45.12,115.44,31.98,82.66,22.9,3,0,csv_414.csv
orange,,CLOU,Steam,76561198265175099,4284,Fennec,361,562,2,0,1,8,11,3,1,25.0,376,39.29,2061,1441,620,16,56,346,167,179,2,17,46.21,21.52,405,158,32,1572,512180,151.24,43.28,156.68,44.83,41.54,11.89,214.79,61.46,124.76,35.7,9.92,2.84,4.37,0.11,40,175.3,161.4,2571,2374,2811,268.48,76.83,80.98,23.17,200.77,57.45,148.7,42.55,150.58,43.09,99.41,28.45,99.47,28.46,1,3,csv_414.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,401,1227,5,0,5,13,10,6,6,38.46,450,53.58,3012,2452,560,35,53,848,607,241,8,22,45.66,67.32,463,970,198,1655,588843,151.17,38.05,164.89,41.5,81.24,20.45,198.01,49.84,173.81,43.75,25.48,6.41,3.47,0.12,28,359.9,359.9,2253,1710,2586,326.15,82.09,71.16,17.91,246.21,61.97,151.1,38.03,178.91,45.03,117.9,29.67,100.5,25.3,2,1,csv_415.csv
orange,,Mechanical Kid Trust(KBM),Steam,76561199003170125,23,Octane,401,1528,6,0,7,10,13,5,5,60.0,460,47.34,3047,2441,606,30,53,304,100,204,1,17,66.56,60.54,169,475,0,1537,544608,185.28,46.86,136.33,34.48,73.77,18.66,186.35,47.13,185.08,46.81,23.94,6.06,4.54,0.13,35,360.0,360.0,1735,1262,2131,298.6,75.52,96.78,24.48,266.83,67.49,128.55,32.51,190.1,48.08,137.76,34.84,67.52,17.08,1,2,csv_415.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,439,1090,5,0,2,13,6,4,4,38.46,469,53.19,3251,2857,394,38,37,866,701,165,9,16,40.89,62.35,389,665,92,1596,636294,181.25,41.36,175.16,39.97,81.79,18.66,206.99,47.24,211.58,48.28,19.63,4.48,4.14,0.14,30,399.0,399.0,1543,1198,2000,348.18,79.46,90.03,20.54,226.84,51.77,211.37,48.23,148.4,33.87,157.74,36.0,132.07,30.14,3,0,csv_416.csv
orange,,Spwel_RL,Epic,4b6080e1c37244f2b918ea389031d4ff,23,Octane,439,1122,4,0,5,6,13,5,5,66.67,412,44.69,2831,2101,730,26,66,312,200,112,2,10,65.19,46.13,524,508,1,1439,560172,220.49,51.55,162.89,38.08,44.35,10.37,269.84,63.09,131.74,30.8,26.15,6.11,6.77,0.11,61,398.9,398.9,1673,1160,2038,337.43,78.89,90.29,21.11,314.93,73.63,112.8,26.37,228.4,53.4,141.12,32.99,58.21,13.61,0,3,csv_416.csv
blue,,swagflippa376,Epic,76b4042213c948f0abcc9ec990bf7f93,22,Breakout,407,1233,6,0,3,11,8,5,5,54.55,485,45.63,2961,2470,491,30,45,656,473,183,6,17,51.89,35.61,209,529,126,1484,534516,209.88,51.62,139.44,34.29,57.3,14.09,198.79,48.89,177.86,43.74,29.96,7.37,7.01,0.12,58,363.2,363.2,1444,1210,1791,298.11,73.31,108.51,26.69,258.39,63.55,148.23,36.45,205.18,50.46,111.1,27.32,90.33,22.22,1,0,csv_417.csv
orange,,italic,Steam,76561198021360335,4284,Fennec,407,1106,5,0,4,8,11,6,6,62.5,416,45.47,2797,2270,527,28,49,408,200,208,2,19,46.89,55.79,360,337,6,1568,560619,184.46,45.72,141.21,35.0,77.78,19.28,222.88,55.24,175.16,43.42,5.41,1.34,5.34,0.13,41,363.2,363.2,2169,1927,2398,318.87,79.04,84.58,20.96,242.49,60.1,160.96,39.9,180.28,44.68,124.83,30.94,98.34,24.37,0,1,csv_417.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,440,1535,9,0,3,10,9,5,5,90.0,390,39.67,2490,1929,561,24,53,610,367,243,5,22,78.8,31.26,345,376,132,1535,579571,209.74,48.25,153.36,35.28,71.59,16.47,204.96,47.15,212.38,48.86,17.35,3.99,4.14,0.15,28,384.4,384.4,1671,1645,1698,348.48,80.17,86.21,19.83,246.94,56.81,187.75,43.19,176.44,40.59,128.89,29.65,129.36,29.76,2,1,csv_418.csv
orange,,Bottiana415,XBox,b4ab2651f3010900,4284,Fennec,440,917,5,0,0,9,10,9,9,55.56,512,40.2,3235,2494,741,28,68,637,370,267,5,26,63.15,31.39,453,314,133,1510,567325,209.4,48.48,148.08,34.29,74.42,17.23,239.93,55.55,188.29,43.6,3.68,0.85,3.91,0.1,41,384.4,384.4,1674,1136,2053,286.83,66.41,145.08,33.59,290.78,67.32,141.13,32.68,214.47,49.66,129.87,30.07,87.57,20.28,1,2,csv_418.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,371,1117,4,0,4,7,7,3,3,57.14,434,53.75,2583,2294,289,29,30,402,292,110,3,10,52.52,54.58,440,295,16,1436,487382,189.16,51.12,128.25,34.66,52.65,14.23,189.67,51.25,166.19,44.91,14.2,3.84,2.8,0.12,23,341.3,341.3,1457,1018,1863,288.63,78.0,81.43,22.0,234.15,63.27,135.92,36.73,179.84,48.6,106.89,28.88,83.34,22.52,5,0,csv_419.csv
orange,,Shaggy Waggy UwU^^,Steam,76561198871876852,23,Octane,371,972,3,0,4,7,7,4,4,42.86,469,45.93,2622,2113,509,26,43,255,0,255,0,22,62.57,40.28,348,486,0,1439,462416,189.98,53.99,108.58,30.86,53.29,15.15,166.97,47.45,166.31,47.27,18.58,5.28,3.87,0.1,39,338.4,338.4,1740,1217,2265,286.88,81.53,64.97,18.47,221.72,63.01,130.14,36.99,160.7,45.67,106.61,30.3,84.54,24.03,0,5,csv_419.csv
blue,,Jack.s|,Epic,3b3ec64a3caa4109a734c0070ca363eb,4284,Fennec,372,574,1,0,4,3,10,4,4,33.33,397,57.71,2529,2094,435,29,41,645,483,162,7,16,13.95,68.95,295,828,226,1439,478110,190.42,52.58,113.61,31.37,58.11,16.05,217.09,59.95,132.87,36.69,12.18,3.36,6.46,0.15,43,185.8,159.9,2438,1970,2744,288.84,79.76,73.31,20.24,235.9,65.14,126.25,34.86,191.28,52.82,92.2,25.46,78.67,21.72,0,3,csv_42.csv
blue,,RMS_RMSh,PS4,RMS_RMSh,23,Octane,372,380,2,0,0,4,10,4,0,50.0,364,54.99,2247,1826,421,23,37,259,143,116,2,10,46.29,33.31,343,483,56,1448,491351,204.0,54.94,113.71,30.62,53.63,14.44,220.46,59.37,137.44,37.01,13.44,3.62,4.24,0.17,25,165.5,186.1,2357,2146,2521,267.52,72.04,103.82,27.96,239.74,64.56,131.6,35.44,182.77,49.22,107.8,29.03,80.77,21.75,1,0,csv_42.csv
orange,,italic,Steam,76561198021360335,23,Octane,372,629,2,2,1,7,7,3,3,28.57,407,50.41,2496,1837,659,20,58,428,189,239,2,20,70.9,13.86,369,150,10,1578,538162,157.61,42.44,158.32,42.63,55.45,14.93,191.24,51.5,156.85,42.24,23.28,6.27,4.71,0.12,40,199.5,148.3,2474,2246,2763,272.25,73.31,99.13,26.69,233.01,62.74,138.36,37.26,182.7,49.2,104.68,28.19,83.99,22.62,2,0,csv_42.csv
orange,,Els_johan6638,PS4,Els_johan6638,23,Octane,372,493,2,1,1,3,7,3,0,66.67,398,53.26,2472,2061,411,26,38,321,164,157,2,15,39.5,51.11,169,554,47,1552,521281,160.37,43.54,161.91,43.96,46.06,12.5,205.43,55.77,153.35,41.63,9.56,2.6,8.68,0.14,62,146.7,195.5,2377,2426,2291,265.03,71.95,103.31,28.05,221.33,60.09,147.01,39.91,149.09,40.48,148.68,40.36,70.58,19.16,1,1,csv_42.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,319,943,2,0,7,5,12,6,6,40.0,459,45.69,2256,1913,343,24,30,466,370,96,4,8,41.28,53.43,283,363,0,1474,423706,157.47,49.46,115.58,36.3,45.36,14.25,164.42,51.64,145.89,45.82,8.11,2.55,3.74,0.13,28,287.4,287.4,2094,1639,2431,230.12,72.27,88.3,27.73,212.04,66.59,106.37,33.41,165.17,51.87,81.32,25.54,71.93,22.59,0,0,csv_420.csv
orange,,Jxy,Steam,76561198038789339,4284,Fennec,319,1117,6,0,2,12,5,2,2,50.0,424,46.36,2107,1638,469,22,40,400,260,140,4,12,33.72,39.93,87,566,141,1481,424809,161.84,50.83,115.07,36.14,41.48,13.03,163.01,51.2,134.5,42.25,20.87,6.56,6.74,0.15,44,287.5,287.5,1442,1386,1581,259.04,81.36,59.35,18.64,180.74,56.79,137.54,43.21,129.89,40.8,98.25,30.86,90.25,28.35,0,0,csv_420.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,392,1235,5,0,6,9,12,4,4,55.56,402,44.39,2411,1842,569,23,52,527,391,136,5,12,57.16,46.18,561,439,76,1508,515869,179.87,47.38,138.46,36.47,61.34,16.16,195.91,51.6,170.63,44.94,13.12,3.46,4.37,0.14,32,355.4,355.4,1709,1483,1855,292.2,76.96,87.47,23.04,266.08,70.08,113.58,29.92,206.73,54.45,98.93,26.06,74.0,19.49,3,4,csv_421.csv
orange,,chat disabled,Steam,76561199075908724,7336,,392,965,4,0,3,12,9,5,5,33.33,497,45.43,2869,2251,618,28,48,950,596,354,8,24,27.03,34.48,654,560,205,1520,520004,184.07,48.45,125.72,33.09,70.13,18.46,215.47,56.71,155.34,40.89,9.11,2.4,6.5,0.13,52,353.0,353.0,1518,1294,1821,305.35,80.37,74.57,19.63,206.86,54.45,173.06,45.55,141.41,37.22,131.3,34.56,107.21,28.22,4,3,csv_421.csv
blue,,Jolt,Steam,76561198843285403,23,Octane,311,534,2,0,1,9,9,6,5,22.22,487,46.54,2328,1938,390,23,34,673,504,169,6,14,42.34,26.12,353,361,91,1568,426356,136.56,45.26,107.71,35.7,57.43,19.04,148.21,49.12,140.04,46.42,13.46,4.46,6.97,0.11,64,278.1,278.1,1525,1218,1746,226.31,75.01,75.4,24.99,167.57,55.54,134.14,44.46,123.82,41.04,89.19,29.56,88.7,29.4,0,2,csv_422.csv
orange,,italic,Steam,76561198021360335,4284,Fennec,311,1243,6,0,4,9,9,2,2,66.67,461,50.1,2199,1964,235,23,25,322,226,96,3,10,45.15,52.09,329,276,81,1567,439443,138.46,44.59,119.54,38.5,52.52,16.91,145.51,46.86,153.33,49.38,11.69,3.76,2.57,0.13,20,278.7,278.7,1822,1770,1970,245.82,79.16,64.7,20.84,203.2,65.44,107.32,34.56,158.08,50.91,89.75,28.9,62.7,20.19,2,0,csv_422.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,401,932,4,0,3,10,11,7,7,40.0,457,49.7,2926,2301,625,33,56,826,529,297,7,26,34.59,54.16,657,792,170,1550,551423,187.26,47.15,138.91,34.97,71.03,17.88,204.71,51.54,178.87,45.03,13.62,3.43,3.07,0.14,22,360.1,360.1,1751,1269,2156,274.04,68.99,123.16,31.01,228.21,57.45,168.99,42.55,165.37,41.63,119.04,29.97,112.79,28.4,4,1,csv_423.csv
orange,,mygaledubled,Epic,054d6a44c1994c9c9482f9e5a7016668,4284,Fennec,401,1395,7,0,4,11,10,4,4,63.64,389,51.03,2375,1722,653,23,58,429,181,248,3,22,32.57,43.89,211,544,123,1478,489750,185.51,50.11,127.53,34.45,57.18,15.44,194.58,52.56,158.25,42.74,17.39,4.7,3.24,0.15,22,364.1,364.1,1756,1659,1846,299.53,80.91,70.69,19.09,245.89,66.42,124.33,33.58,187.71,50.7,112.39,30.36,70.11,18.94,1,4,csv_423.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,403,1086,4,0,5,9,11,6,6,44.44,382,45.27,2574,1955,619,24,56,461,247,214,4,20,59.95,54.04,281,455,157,1443,517265,207.23,52.25,135.19,34.09,54.2,13.67,207.61,52.34,178.82,45.08,10.2,2.57,6.51,0.14,47,363.6,363.6,1949,1486,2347,305.69,77.07,90.94,22.93,269.22,67.88,127.4,32.12,196.69,49.59,114.57,28.89,85.36,21.52,2,2,csv_424.csv
orange,,BS BobJack,Steam,76561198013190977,23,Octane,403,1295,6,0,3,11,9,4,4,54.55,508,45.8,3197,2559,638,33,47,818,485,333,7,21,55.58,49.99,561,746,218,1422,509658,215.11,54.25,118.56,29.9,62.86,15.85,211.71,53.39,178.87,45.11,5.95,1.5,6.78,0.1,66,363.7,363.7,1593,1464,1738,289.58,73.03,106.95,26.97,231.59,58.4,164.94,41.6,166.23,41.92,121.01,30.52,109.29,27.56,2,2,csv_424.csv
blue,,italic,Steam,76561198021360335,4284,Fennec,383,1019,4,3,1,7,1,1,1,57.14,435,57.49,2731,2222,509,29,46,832,583,249,8,22,32.72,61.77,256,561,179,1538,529054,174.94,46.14,141.87,37.42,62.36,16.45,187.47,49.44,159.64,42.1,32.06,8.46,5.04,0.14,37,148.5,206.0,2091,1926,2852,299.46,78.98,79.71,21.02,191.33,50.46,187.84,49.54,127.95,33.74,130.2,34.34,121.03,31.92,0,1,csv_425.csv
blue,,Tholen,Steam,76561198354378909,23,Octane,383,577,4,0,0,2,1,1,0,200.0,247,47.26,1514,1047,467,12,42,410,300,110,3,10,26.61,73.36,123,180,9,1140,387902,284.94,74.53,76.31,19.96,21.09,5.52,255.16,66.74,113.94,29.8,13.24,3.46,27.37,0.65,42,210.5,143.4,3174,3446,3144,312.44,81.72,69.9,18.28,246.6,64.5,135.74,35.5,175.24,45.83,133.0,34.79,74.1,19.38,0,0,csv_425.csv
orange,,krom5038,Epic,94e6adb7b81644dcb974860fbb8ad51b,23,Octane,383,236,1,0,0,0,9,8,3,0.0,361,44.12,2162,1784,378,22,34,226,193,33,4,3,43.56,29.18,182,419,206,1285,395991,243.86,64.42,96.38,25.46,38.28,10.11,179.93,47.54,168.4,44.49,30.19,7.98,4.81,0.14,35,209.8,224.7,2608,1433,2388,245.18,64.77,133.34,35.23,319.69,84.46,58.83,15.54,275.44,72.77,74.69,19.73,28.39,7.5,1,0,csv_425.csv
