goals-a,shots-a,shots conceded-a,goals conceded-a,bpm-a,avg boost amount-a,amount collected-a,amount collected big pads-a,amount collected small pads-a,count collected big pads-a,count collected small pads-a,amount stolen-a,amount stolen big pads-a,amount stolen small pads-a,count stolen big pads-a,count stolen small pads-a,amount used while supersonic-a,amount overfill total-a,amount overfill stolen-a,avg speed-a,total distance-a,percentage slow speed-a,percentage boost speed-a,percentage supersonic speed-a,percentage on ground-a,percentage low in air-a,percentage high in air-a,count powerslide-a,avg distance to ball-a,avg distance to ball has possession-a,avg distance to ball no possession-a,percentage behind ball-a,percentage in front of ball-a,percentage defensive half-a,percentage offensive half-a,percentage defensive third-a,percentage neutral third-a,percentage offensive third-a,demos inflicted-a,demos taken-a,bpm-b,avg boost amount-b,amount collected-b,amount collected big pads-b,amount collected small pads-b,count collected big pads-b,count collected small pads-b,amount stolen-b,amount stolen big pads-b,amount stolen small pads-b,count stolen big pads-b,count stolen small pads-b,amount used while supersonic-b,amount overfill total-b,amount overfill stolen-b,avg speed-b,total distance-b,percentage slow speed-b,percentage boost speed-b,percentage supersonic speed-b,percentage on ground-b,percentage low in air-b,percentage high in air-b,count powerslide-b,avg distance to ball-b,avg distance to ball has possession-b,avg distance to ball no possession-b,percentage behind ball-b,percentage in front of ball-b,percentage defensive half-b,percentage offensive half-b,percentage defensive third-b,percentage neutral third-b,percentage offensive third-b,demos inflicted-b,demos taken-b
2.0,7.0,7.0,4.0,340.5,56.145,1977.0,1473.5,503.5,19.0,43.0,476.0,353.5,122.5,4.5,11.5,191.5,299.5,85.5,1479.0,482641.0,57.04,39.59,19.32,51.24,46.2,3.59,31.5,2592.0,2204.0,2879.0,70.52,31.46,63.33,38.9,50.4,33.92,25.32,0.5,0.5,345.5,51.31,1975.5,1445.5,530.0,20.0,46.5,452.5,302.5,150.0,4.0,14.0,197.0,566.0,103.5,1440.5,467674.5,53.83,37.15,13.28,63.83,37.7,3.63,41.0,2469.0,2461.5,2447.0,80.4,29.04,68.32,43.22,51.47,34.09,23.97,0.5,0.5
1.0,6.0,7.0,5.0,390.5,52.145,1870.0,1540.5,329.5,19.0,29.5,470.0,348.0,122.0,3.5,11.0,304.5,356.0,4.0,1558.0,393178.0,47.07,41.13,17.67,55.64,44.42,4.17,24.0,2542.5,2413.5,2655.0,70.95,30.72,61.98,41.41,46.01,32.76,25.34,0.5,0.5,417.5,49.41,1867.5,1454.5,413.0,17.0,36.5,368.5,233.5,135.0,2.5,12.5,172.0,254.0,17.0,1517.0,382912.5,55.35,44.69,16.84,63.14,41.57,9.15,37.0,2375.5,2436.5,2189.5,75.78,26.83,67.58,35.22,52.14,28.63,22.69,0.5,0.5
3.0,7.0,10.0,2.0,369.0,45.75,2145.0,1524.0,621.0,18.5,51.5,586.0,367.5,218.5,5.5,19.5,275.5,229.5,135.5,1497.0,489126.5,55.49,39.69,23.3,56.33,42.56,7.15,43.0,2489.5,2354.5,2641.5,79.08,29.47,63.91,40.86,49.95,28.69,27.31,1.5,0.5,415.5,50.115,2417.0,1767.0,650.0,22.0,56.0,565.5,324.5,241.0,4.0,20.5,287.0,453.5,76.0,1534.0,496128.5,52.1,43.82,17.8,66.58,41.07,5.18,47.5,2329.5,2170.5,2454.0,71.55,35.22,62.45,41.49,46.34,32.41,27.35,0.5,1.5
1.0,8.0,10.0,3.0,365.0,53.065,2083.5,1644.0,439.5,19.5,38.5,630.5,452.5,178.0,5.0,15.5,251.5,299.5,41.5,1517.0,490375.0,51.36,41.47,15.94,58.91,41.89,7.56,33.0,2319.5,2348.5,2319.0,67.29,35.46,57.4,43.13,41.37,34.31,29.08,1.0,0.0,324.5,51.305,1765.0,1317.0,448.0,16.5,39.5,416.0,277.0,139.0,3.5,12.0,221.0,303.0,77.0,1413.0,452077.5,58.79,40.37,10.71,64.84,37.68,3.21,37.0,2189.0,1927.0,2367.0,79.96,24.99,67.59,32.94,53.83,31.18,20.71,0.0,1.0
3.0,10.0,11.0,4.0,409.0,56.89,2553.0,2015.5,537.5,24.0,50.5,754.5,580.5,174.0,7.0,17.5,454.0,285.0,60.5,1551.0,526928.5,50.5,41.63,19.21,59.92,38.99,4.07,51.0,2345.5,2325.5,2382.5,76.72,30.47,67.71,41.91,51.59,33.89,24.74,0.0,0.0,379.0,48.33,2461.0,1684.0,777.0,21.0,64.0,469.5,269.5,200.0,3.0,18.0,325.5,339.0,32.5,1627.5,555170.5,40.56,47.13,17.36,60.97,39.1,3.23,69.0,2647.0,2372.0,2841.0,75.99,27.69,68.02,35.96,45.96,38.28,18.9,0.0,0.0
4.0,8.0,8.0,7.0,383.0,47.765,2350.5,1787.5,563.0,20.5,50.0,551.5,307.5,244.0,4.0,21.5,331.5,171.5,27.0,1534.0,517700.5,53.74,38.65,16.73,58.39,44.27,4.77,51.5,2619.0,2458.0,2727.0,77.86,25.22,56.62,48.06,39.43,34.86,32.3,0.5,0.0,386.5,48.19,2350.0,1852.5,497.5,21.5,41.0,282.5,199.0,83.5,3.0,7.5,329.5,236.0,69.5,1486.5,501790.0,54.11,34.94,14.71,56.52,40.33,3.89,51.5,2344.5,2249.0,2412.0,71.96,28.11,76.46,24.08,61.26,28.32,14.29,0.0,0.5
4.0,9.0,5.0,1.0,471.5,52.64,2211.0,1731.0,480.0,19.5,39.0,629.5,426.0,203.5,5.0,18.5,428.5,208.5,68.0,1633.0,436830.5,39.6,45.27,21.36,63.72,46.45,4.23,35.5,2318.0,2209.5,2448.5,76.15,31.89,56.88,53.89,43.34,28.13,40.53,1.0,0.5,399.0,48.17,1924.0,1512.5,411.5,17.5,33.0,390.5,274.5,116.0,3.0,10.5,421.5,242.5,28.5,1504.5,399963.0,53.99,38.71,19.46,63.74,35.35,2.09,31.0,2507.5,2386.0,2598.0,77.02,38.96,73.49,35.05,59.04,29.63,21.52,0.5,1.0
2.0,6.0,5.0,0.0,423.0,57.84,2280.0,1874.0,406.0,24.5,37.5,520.5,379.0,141.5,5.0,13.0,370.5,518.5,89.0,1569.5,489323.5,48.41,45.48,23.04,59.14,36.64,6.37,48.0,2386.0,2166.0,2610.5,78.76,29.66,60.27,42.17,43.63,38.65,28.88,2.0,1.0,377.5,52.66,1909.5,1306.5,603.0,16.5,52.5,510.5,313.0,197.5,3.5,18.0,315.0,360.5,38.0,1472.0,456548.0,57.68,41.31,17.18,58.02,47.09,5.0,65.5,2212.0,1884.0,2553.0,71.05,30.25,64.3,35.81,48.21,32.68,22.4,1.0,2.0
3.0,6.0,12.0,4.0,455.5,50.55,2642.0,2186.5,455.5,26.0,42.0,492.5,329.0,163.5,3.5,15.5,366.5,341.0,31.0,1624.0,553071.5,43.58,41.15,22.56,55.7,41.24,6.06,50.5,2475.5,2356.0,2590.5,73.28,35.19,72.59,38.78,58.1,27.81,24.39,1.0,1.0,360.0,45.965,2211.0,1490.0,721.0,18.5,64.0,469.5,197.0,272.5,2.5,23.5,224.0,374.5,55.0,1485.5,505731.0,49.06,42.12,11.47,64.09,35.87,3.59,41.0,2503.0,2158.0,2830.0,76.52,24.2,59.93,41.24,45.86,33.88,27.84,1.0,1.0
3.0,3.0,1.0,0.0,446.0,54.555,704.0,559.5,144.5,7.0,14.0,162.5,117.0,45.5,1.5,4.5,56.5,155.5,38.0,1702.0,135021.0,42.48,41.48,21.57,50.17,47.66,5.62,8.0,2838.0,3036.0,2577.0,80.69,22.18,58.98,41.24,39.21,41.01,22.52,0.5,0.0,426.0,48.99,513.0,425.0,88.0,5.5,8.5,103.0,97.5,5.5,1.0,1.0,187.5,124.0,2.0,1522.0,96943.0,57.36,32.27,26.36,63.84,36.16,7.84,6.5,2698.5,2300.0,2805.5,68.06,38.32,80.18,26.0,68.89,46.45,11.55,0.0,0.5
